id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
777016	20170731	1	900000000000012004	127489000	en	900000000000013009	Has active ingredient	900000000000448009
71335012	20170731	1	900000000000012004	42752001	en	900000000000013009	Due to	900000000000448009
71336013	20160131	0	900000000000012004	42752001	en	900000000000013009	Caused by	900000000000020002
71337016	20160131	0	900000000000012004	42752001	en	900000000000013009	DT	900000000000017005
79074014	20170731	1	900000000000012004	47429007	en	900000000000013009	Associated with	900000000000448009
79075010	20180131	0	900000000000012004	47429007	en	900000000000013009	AW	900000000000017005
170667013	20170731	1	900000000000012004	106237007	en	900000000000013009	Linkage concept	900000000000448009
181109012	20170731	1	900000000000012004	116676008	en	900000000000013009	Associated morphology	900000000000448009
181114011	20170731	1	900000000000012004	116680003	en	900000000000013009	Is a	900000000000448009
181119018	20170731	1	900000000000012004	116686009	en	900000000000013009	Has specimen	900000000000448009
181140017	20170731	1	900000000000012004	118168003	en	900000000000013009	Specimen source morphology	900000000000448009
181141018	20170731	1	900000000000012004	118169006	en	900000000000013009	Specimen source topography	900000000000448009
181142013	20170731	1	900000000000012004	118170007	en	900000000000013009	Specimen source identity	900000000000448009
181143015	20170731	1	900000000000012004	118171006	en	900000000000013009	Specimen procedure	900000000000448009
210918014	20170731	1	900000000000012004	131195008	en	900000000000013009	Subject of information	900000000000448009
253467018	20170731	1	900000000000207008	162573006	en	900000000000013009	Suspected lung cancer	900000000000448009
367784012	20170731	1	900000000000012004	246075003	en	900000000000013009	Causative agent	900000000000448009
367802015	20170731	1	900000000000012004	246090004	en	900000000000013009	Associated finding	900000000000448009
367805018	20170731	1	900000000000012004	246093002	en	900000000000013009	Component	900000000000448009
367824015	20170731	1	900000000000012004	246112005	en	900000000000013009	Severity	900000000000448009
368190019	20170731	1	900000000000012004	246454002	en	900000000000013009	Occurrence	900000000000448009
368192010	20170731	1	900000000000012004	246456000	en	900000000000013009	Episodicity	900000000000448009
368244017	20170731	1	900000000000012004	246501002	en	900000000000013009	Technique	900000000000448009
368258015	20170731	1	900000000000012004	246513007	en	900000000000013009	Revision status	900000000000448009
368259011	20170731	1	900000000000012004	246514001	en	900000000000013009	Units	900000000000448009
380400010	20170731	1	900000000000012004	255234002	en	900000000000013009	After	900000000000448009
388070017	20170731	1	900000000000012004	260507000	en	900000000000013009	Access	900000000000448009
388315014	20170731	1	900000000000012004	260686004	en	900000000000013009	Method	900000000000448009
388521012	20170731	1	900000000000012004	260870009	en	900000000000013009	Priority	900000000000448009
391753013	20170731	1	900000000000012004	263502005	en	900000000000013009	Clinical course	900000000000448009
407958017	20170731	1	900000000000012004	272741003	en	900000000000013009	Laterality	900000000000448009
428221018	20170731	1	900000000000012004	288556008	en	900000000000013009	Prior to	900000000000448009
428222013	20170731	1	900000000000012004	288556008	en	900000000000013009	Preceding	900000000000448009
428223015	20170731	1	900000000000012004	288556008	en	900000000000013009	Before	900000000000448009
484078019	20170731	1	900000000000012004	363589002	en	900000000000013009	Associated procedure	900000000000448009
485017014	20170731	1	900000000000012004	363698007	en	900000000000013009	Finding site	900000000000448009
485018016	20170731	1	900000000000012004	363699004	en	900000000000013009	Direct device	900000000000448009
485019012	20170731	1	900000000000012004	363700003	en	900000000000013009	Direct morphology	900000000000448009
485020018	20170731	1	900000000000012004	363701004	en	900000000000013009	Direct substance	900000000000448009
485021019	20170731	1	900000000000012004	363702006	en	900000000000013009	Has focus	900000000000448009
485022014	20170731	1	900000000000012004	363703001	en	900000000000013009	Has intent	900000000000448009
